,word1,word2,val
697,시작,방문,9505
698,시작,떡볶이,9503
699,시작,선택,9498
700,행복,순간,9497
701,출근,인생,9492
702,나라,갓생,9490
703,시작,대신,9483
704,인생,여행,9476
705,블로그,만족,9452
706,인생,성공,9424
707,학교,진심,9420
708,지하철,갓생,9407
709,치킨,오늘,9407
710,개강,갓생,9406
711,계란,갓생,9403
712,행복,감동,9398
713,행복,주문,9383
714,바다,갓생,9381
715,짜증,갓생,9367
716,아기,갓생,9363
717,카페,인간,9357
718,책,노래,9335
719,학교,맛집,9331
720,평일,갓생,9326
721,영화,공부,9321
722,반복,갓생,9320
723,카페,취향,9319
724,행복,최애,9319
725,생활,블로그,9314
726,관리,갓생,9312
727,카페,전화,9303
728,여행,공부,9290
729,일상,선물,9289
730,책,선물,9276
731,수업,도착,9268
732,책,이유,9265
733,주말,인생,9259
734,오늘,예정,9246
735,걸까,갓생,9236
736,레전드,갓생,9235
737,이유,선물,9229
738,이해,시작,9228
739,일상,느낌,9223
740,김밥,갓생,9218
741,진심,인생,9205
742,눈물,공부,9198
743,인생,영화,9183
744,학교,눈물,9180
745,인스타,공부,9174
746,이벤트,갓생,9174
747,인생,시험,9173
748,메뉴,맛집,9171
749,점심,시험,9169
750,퇴근,인생,9168
751,피곤,공부,9164
752,오늘,기록,9164
753,점심,여행,9154
754,필요,운동,9153
755,블로그,기간,9153
756,상태,공부,9148
757,지금,인생,9143
758,점심,내일,9133
759,우유,갓생,9128
760,커피,서울,9124
761,점심,일기,9123
762,회사,블로그,9121
763,커피,라떼,9119
764,학교,기대,9114
765,카페,감동,9113
766,아무,시작,9112
767,주말,선물,9108
768,화장실,갓생,9107
769,카페,감성,9101
770,부산,갓생,9096
771,주간일기,오늘,9093
772,카페,초코,9088
773,연락,시작,9080
774,후기,오늘,9077
775,케이크,블로그,9067
776,오늘,생활,9065
777,확인,시작,9057
778,의미,시작,9057
779,인생,약속,9055
780,필수,갓생,9048
781,맛집,느낌,9046
